Global Stock Index Fund

Date,NAV
"""05/02/2015""","""18.4080"""
"""04/02/2015""","""18.2834"""
"""03/02/2015""","""18.2444"""
"""02/02/2015""","""18.1890"""
"""30/01/2015""","""18.1029"""
"""29/01/2015""","""18.1926"""
"""28/01/2015""","""18.1366"""
"""27/01/2015""","""18.2160"""
"""26/01/2015""","""18.5248"""
"""23/01/2015""","""18.4841"""
"""22/01/2015""","""18.2431"""
"""21/01/2015""","""17.8049"""
"""20/01/2015""","""17.7296"""
"""19/01/2015""","""17.6042"""
"""16/01/2015""","""17.7381"""
"""15/01/2015""","""17.4666"""
"""14/01/2015""","""17.1999"""
"""13/01/2015""","""17.3410"""
"""12/01/2015""","""17.2717"""
"""09/01/2015""","""17.3207"""
"""08/01/2015""","""17.4896"""
"""07/01/2015""","""17.1435"""
"""06/01/2015""","""16.8949"""
"""05/01/2015""","""17.0422"""
"""02/01/2015""","""17.2488"""
"""31/12/2014""","""17.1987"""
"""30/12/2014""","""17.2222"""
"""29/12/2014""","""17.3060"""
"""26/12/2014""","""17.2951"""
"""24/12/2014""","""17.2350"""
"""23/12/2014""","""17.2320"""
"""22/12/2014""","""17.1097"""
"""19/12/2014""","""17.0385"""
"""18/12/2014""","""16.9102"""
"""17/12/2014""","""16.4199"""
"""16/12/2014""","""16.1040"""
"""15/12/2014""","""16.2069"""
"""12/12/2014""","""16.3543"""
"""11/12/2014""","""16.6952"""
"""10/12/2014""","""16.6415"""
"""09/12/2014""","""16.8620"""
"""08/12/2014""","""17.0875"""
"""05/12/2014""","""17.1982"""
"""04/12/2014""","""16.9862"""
"""03/12/2014""","""17.1754"""
"""02/12/2014""","""17.0251"""
"""01/12/2014""","""16.8643"""
"""28/11/2014""","""16.9716"""
"""27/11/2014""","""17.0017"""
"""26/11/2014""","""16.9697"""
"""25/11/2014""","""16.9761"""
"""24/11/2014""","""17.0154"""
"""21/11/2014""","""17.0197"""
"""20/11/2014""","""16.7315"""
"""19/11/2014""","""16.7230"""
"""18/11/2014""","""16.7685"""
"""17/11/2014""","""16.7385"""
"""14/11/2014""","""16.7286"""
"""13/11/2014""","""16.7253"""
"""12/11/2014""","""16.7082"""
"""11/11/2014""","""16.7908"""
"""10/11/2014""","""16.7463"""
"""07/11/2014""","""16.7104"""
"""06/11/2014""","""16.6822"""
"""05/11/2014""","""16.5985"""
"""04/11/2014""","""16.4064"""
"""03/11/2014""","""16.5289"""
"""31/10/2014""","""16.5577"""
"""30/10/2014""","""16.2551"""
"""29/10/2014""","""16.0495"""
"""28/10/2014""","""16.0495"""
"""27/10/2014""","""15.9253"""
"""24/10/2014""","""15.9895"""
"""23/10/2014""","""15.9390"""
"""22/10/2014""","""15.7923"""
"""21/10/2014""","""15.7512"""
"""20/10/2014""","""15.4499"""
"""17/10/2014""","""15.3470"""
"""16/10/2014""","""15.1323"""
"""15/10/2014""","""15.1818"""
"""14/10/2014""","""15.4402"""
"""13/10/2014""","""15.4517"""
"""10/10/2014""","""15.6438"""
"""09/10/2014""","""15.7881"""
"""08/10/2014""","""16.0164"""
"""07/10/2014""","""15.9707"""
"""06/10/2014""","""16.2251"""
"""03/10/2014""","""16.2558"""
"""02/10/2014""","""16.0033"""
"""01/10/2014""","""16.1847"""
"""30/09/2014""","""16.3212"""
"""29/09/2014""","""16.2875"""
"""26/09/2014""","""16.3297"""
"""25/09/2014""","""16.2086"""
"""24/09/2014""","""16.3384"""
"""23/09/2014""","""16.1858"""
"""22/09/2014""","""16.3325"""
"""19/09/2014""","""16.4408"""
"""18/09/2014""","""16.3595"""
"""17/09/2014""","""16.2420"""
"""16/09/2014""","""16.2369"""
"""15/09/2014""","""16.1885"""
"""12/09/2014""","""16.2137"""
"""11/09/2014""","""16.2803"""
"""10/09/2014""","""16.2979"""
"""09/09/2014""","""16.2747"""
"""08/09/2014""","""16.3360"""
"""05/09/2014""","""16.3817"""
"""04/09/2014""","""16.3525"""
"""03/09/2014""","""16.1704"""
"""02/09/2014""","""16.1415"""
"""01/09/2014""","""16.1334"""
"""29/08/2014""","""16.0936"""
"""28/08/2014""","""16.0486"""
"""27/08/2014""","""16.0723"""
"""26/08/2014""","""16.0550"""
"""25/08/2014""","""16.0249"""
"""22/08/2014""","""15.8996"""
"""21/08/2014""","""15.8891"""
"""20/08/2014""","""15.8301"""
"""19/08/2014""","""15.7816"""
"""18/08/2014""","""15.6583"""
"""15/08/2014""","""15.5162"""
"""14/08/2014""","""15.5315"""
"""13/08/2014""","""15.4681"""
"""12/08/2014""","""15.4032"""
"""11/08/2014""","""15.3889"""
"""08/08/2014""","""15.2575"""
"""07/08/2014""","""15.2762"""
"""06/08/2014""","""15.3455"""
"""05/08/2014""","""15.3717"""
"""04/08/2014""","""15.4213"""
"""01/08/2014""","""15.3706"""
"""31/07/2014""","""15.5046"""
"""30/07/2014""","""15.7402"""
"""29/07/2014""","""15.7371"""
"""28/07/2014""","""15.7397"""
"""25/07/2014""","""15.7475"""
"""24/07/2014""","""15.7777"""
"""23/07/2014""","""15.7648"""
"""22/07/2014""","""15.7296"""
"""21/07/2014""","""15.5723"""
"""18/07/2014""","""15.6226"""
"""17/07/2014""","""15.5304"""
"""16/07/2014""","""15.6566"""
"""15/07/2014""","""15.5270"""
"""14/07/2014""","""15.5095"""
"""11/07/2014""","""15.4436"""
"""10/07/2014""","""15.4274"""
"""09/07/2014""","""15.4851"""
"""08/07/2014""","""15.4757"""
"""07/07/2014""","""15.6117"""
"""04/07/2014""","""15.6965"""
"""03/07/2014""","""15.6784"""
"""02/07/2014""","""15.5632"""
"""01/07/2014""","""15.5172"""
"""30/06/2014""","""15.3993"""
