Euro Investment Grade Bond Index Fund

Date,NAV
"""13/06/2014""","""185.8966"""
"""12/06/2014""","""185.8485"""
"""11/06/2014""","""185.7553"""
"""10/06/2014""","""185.6766"""
"""09/06/2014""","""185.8145"""
"""06/06/2014""","""185.8212"""
"""05/06/2014""","""185.3030"""
"""04/06/2014""","""185.0137"""
"""03/06/2014""","""185.1142"""
"""02/06/2014""","""185.3830"""
"""30/05/2014""","""185.3349"""
"""29/05/2014""","""185.4262"""
"""28/05/2014""","""185.4677"""
"""27/05/2014""","""185.1986"""
"""26/05/2014""","""184.9636"""
"""23/05/2014""","""184.8587"""
"""22/05/2014""","""184.8477"""
"""21/05/2014""","""184.6777"""
"""20/05/2014""","""184.8845"""
"""19/05/2014""","""184.9823"""
"""16/05/2014""","""185.0160"""
"""15/05/2014""","""185.2700"""
"""14/05/2014""","""184.9744"""
"""13/05/2014""","""184.7000"""
"""12/05/2014""","""184.2954"""
"""09/05/2014""","""184.2237"""
"""08/05/2014""","""184.2014"""
"""07/05/2014""","""183.8029"""
"""06/05/2014""","""183.8361"""
"""05/05/2014""","""183.8608"""
"""02/05/2014""","""183.8843"""
"""01/05/2014""","""183.6723"""
"""30/04/2014""","""183.6580"""
"""29/04/2014""","""183.4381"""
"""28/04/2014""","""183.3009"""
"""25/04/2014""","""183.3412"""
"""24/04/2014""","""183.0833"""
"""23/04/2014""","""183.0837"""
"""22/04/2014""","""182.9754"""
"""21/04/2014""","""183.1221"""
"""17/04/2014""","""183.0658"""
"""16/04/2014""","""183.2532"""
"""15/04/2014""","""183.3339"""
"""14/04/2014""","""182.9878"""
"""11/04/2014""","""183.0259"""
"""10/04/2014""","""182.9301"""
"""09/04/2014""","""182.5118"""
"""08/04/2014""","""182.6331"""
"""07/04/2014""","""182.7512"""
"""04/04/2014""","""182.6275"""
"""03/04/2014""","""182.2182"""
"""02/04/2014""","""182.0499"""
"""01/04/2014""","""182.2589"""
"""31/03/2014""","""182.3148"""
"""28/03/2014""","""182.3641"""
"""27/03/2014""","""182.5019"""
"""26/03/2014""","""182.2577"""
"""25/03/2014""","""182.1274"""
"""24/03/2014""","""181.9672"""
"""21/03/2014""","""181.6474"""
"""20/03/2014""","""181.5816"""
"""19/03/2014""","""181.9646"""
"""18/03/2014""","""182.1135"""
"""17/03/2014""","""182.0650"""
"""14/03/2014""","""182.1231"""
"""13/03/2014""","""182.2510"""
"""12/03/2014""","""181.9370"""
"""11/03/2014""","""181.7229"""
"""10/03/2014""","""181.7579"""
"""07/03/2014""","""181.5387"""
"""06/03/2014""","""181.5484"""
"""05/03/2014""","""181.8666"""
